Número de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201117
Palabra: abandoned Frec: 6 lnProb: -10.39
Palabra: ability Frec: 12 lnProb: -9.77
Palabra: able Frec: 144 lnProb: -7.35
Palabra: abroad Frec: 6 lnProb: -10.39
Palabra: absolute Frec: 26 lnProb: -9.04
Palabra: absolutely Frec: 58 lnProb: -8.25
Palabra: absurd Frec: 10 lnProb: -9.93
Palabra: abt Frec: 7 lnProb: -10.25
Palabra: abuse Frec: 27 lnProb: -9.0
Palabra: abused Frec: 12 lnProb: -9.77
Palabra: abusing Frec: 10 lnProb: -9.93
Palabra: abusive Frec: 6 lnProb: -10.39
Palabra: accelerate Frec: 10 lnProb: -9.93
Palabra: accelerated Frec: 10 lnProb: -9.93
Palabra: accept Frec: 11 lnProb: -9.85
Palabra: access Frec: 119 lnProb: -7.54
Palabra: accommodation Frec: 6 lnProb: -10.39
Palabra: according Frec: 49 lnProb: -8.42
Palabra: account Frec: 32 lnProb: -8.83
Palabra: accounts Frec: 19 lnProb: -9.34
Palabra: accurate Frec: 8 lnProb: -10.13
Palabra: accused Frec: 27 lnProb: -9.0
Palabra: achieve Frec: 8 lnProb: -10.13
Palabra: act Frec: 32 lnProb: -8.83
Palabra: acted Frec: 10 lnProb: -9.93
Palabra: acting Frec: 23 lnProb: -9.15
Palabra: action Frec: 68 lnProb: -8.1
Palabra: actions Frec: 33 lnProb: -8.8
Palabra: actively Frec: 9 lnProb: -10.03
Palabra: activist Frec: 6 lnProb: -10.39
Palabra: activities Frec: 22 lnProb: -9.2
Palabra: activity Frec: 42 lnProb: -8.57
Palabra: actors Frec: 8 lnProb: -10.13
Palabra: acts Frec: 7 lnProb: -10.25
Palabra: actual Frec: 27 lnProb: -9.0
Palabra: actually Frec: 105 lnProb: -7.67
Palabra: acute Frec: 6 lnProb: -10.39
Palabra: ad Frec: 10 lnProb: -9.93
Palabra: adapt Frec: 16 lnProb: -9.5
Palabra: adapting Frec: 7 lnProb: -10.25
Palabra: add Frec: 34 lnProb: -8.78
Palabra: added Frec: 24 lnProb: -9.11
Palabra: addiction Frec: 6 lnProb: -10.39
Palabra: adding Frec: 22 lnProb: -9.2
Palabra: addition Frec: 13 lnProb: -9.69
Palabra: additional Frec: 34 lnProb: -8.78
Palabra: address Frec: 34 lnProb: -8.78
Palabra: adds Frec: 7 lnProb: -10.25
Palabra: adhere Frec: 6 lnProb: -10.39
Palabra: adjust Frec: 10 lnProb: -9.93
Palabra: administration Frec: 16 lnProb: -9.5
Palabra: admit Frec: 7 lnProb: -10.25
Palabra: adoting Frec: 6 lnProb: -10.39
Palabra: ads Frec: 22 lnProb: -9.2
Palabra: adult Frec: 9 lnProb: -10.03
Palabra: adults Frec: 16 lnProb: -9.5
Palabra: advance Frec: 9 lnProb: -10.03
Palabra: advantage Frec: 124 lnProb: -7.5
Palabra: advertising Frec: 18 lnProb: -9.39
Palabra: advice Frec: 71 lnProb: -8.05
Palabra: advise Frec: 10 lnProb: -9.93
Palabra: advised Frec: 11 lnProb: -9.85
Palabra: advising Frec: 12 lnProb: -9.77
Palabra: advocates Frec: 12 lnProb: -9.77
Palabra: affairs Frec: 8 lnProb: -10.13
Palabra: affect Frec: 43 lnProb: -8.55
Palabra: affected Frec: 137 lnProb: -7.4
Palabra: affecting Frec: 33 lnProb: -8.8
Palabra: affects Frec: 10 lnProb: -9.93
Palabra: afford Frec: 90 lnProb: -7.82
