Número de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235230
Palabra: abide Frec: 4 lnProb: -10.86
Palabra: ability Frec: 34 lnProb: -8.92
Palabra: able Frec: 211 lnProb: -7.11
Palabra: abnormal Frec: 3 lnProb: -11.08
Palabra: abroad Frec: 5 lnProb: -10.68
Palabra: absence Frec: 3 lnProb: -11.08
Palabra: absolute Frec: 19 lnProb: -9.48
Palabra: absolutely Frec: 29 lnProb: -9.07
Palabra: absurd Frec: 4 lnProb: -10.86
Palabra: abt Frec: 10 lnProb: -10.07
Palabra: abundance Frec: 3 lnProb: -11.08
Palabra: abundant Frec: 5 lnProb: -10.68
Palabra: abuse Frec: 8 lnProb: -10.27
Palabra: abused Frec: 6 lnProb: -10.53
Palabra: academic Frec: 5 lnProb: -10.68
Palabra: acc Frec: 4 lnProb: -10.86
Palabra: accelerate Frec: 17 lnProb: -9.58
Palabra: accelerating Frec: 7 lnProb: -10.39
Palabra: accept Frec: 26 lnProb: -9.18
Palabra: acceptable Frec: 12 lnProb: -9.91
Palabra: acceptance Frec: 6 lnProb: -10.53
Palabra: accepted Frec: 5 lnProb: -10.68
Palabra: accepting Frec: 20 lnProb: -9.43
Palabra: access Frec: 162 lnProb: -7.38
Palabra: accessed Frec: 3 lnProb: -11.08
Palabra: accessible Frec: 10 lnProb: -10.07
Palabra: accessing Frec: 7 lnProb: -10.39
Palabra: accessories Frec: 4 lnProb: -10.86
Palabra: accommodate Frec: 7 lnProb: -10.39
Palabra: accommodation Frec: 4 lnProb: -10.86
Palabra: accommodations Frec: 3 lnProb: -11.08
Palabra: according Frec: 62 lnProb: -8.33
Palabra: accordingly Frec: 4 lnProb: -10.86
Palabra: account Frec: 44 lnProb: -8.66
Palabra: accountability Frec: 4 lnProb: -10.86
Palabra: accounts Frec: 18 lnProb: -9.53
Palabra: accuracy Frec: 4 lnProb: -10.86
Palabra: accurate Frec: 9 lnProb: -10.17
Palabra: aceeatery Frec: 3 lnProb: -11.08
Palabra: acelounge Frec: 3 lnProb: -11.08
Palabra: acesupermarket Frec: 3 lnProb: -11.08
Palabra: achieve Frec: 11 lnProb: -9.99
Palabra: acknowledge Frec: 3 lnProb: -11.08
Palabra: acquire Frec: 3 lnProb: -11.08
Palabra: acquired Frec: 8 lnProb: -10.27
Palabra: acquiring Frec: 4 lnProb: -10.86
Palabra: acquisition Frec: 3 lnProb: -11.08
Palabra: act Frec: 45 lnProb: -8.64
Palabra: acted Frec: 4 lnProb: -10.86
Palabra: acting Frec: 20 lnProb: -9.43
Palabra: action Frec: 77 lnProb: -8.11
Palabra: actions Frec: 24 lnProb: -9.25
Palabra: activated Frec: 5 lnProb: -10.68
Palabra: active Frec: 24 lnProb: -9.25
Palabra: actively Frec: 17 lnProb: -9.58
Palabra: activities Frec: 22 lnProb: -9.34
Palabra: activity Frec: 43 lnProb: -8.69
Palabra: actors Frec: 17 lnProb: -9.58
Palabra: actress Frec: 8 lnProb: -10.27
Palabra: acts Frec: 12 lnProb: -9.91
Palabra: actual Frec: 17 lnProb: -9.58
Palabra: actually Frec: 96 lnProb: -7.9
Palabra: ad Frec: 24 lnProb: -9.25
Palabra: adapt Frec: 30 lnProb: -9.04
Palabra: adaptation Frec: 4 lnProb: -10.86
Palabra: adapting Frec: 17 lnProb: -9.58
Palabra: add Frec: 50 lnProb: -8.54
Palabra: added Frec: 34 lnProb: -8.92
Palabra: addiction Frec: 6 lnProb: -10.53
Palabra: adding Frec: 23 lnProb: -9.29
Palabra: addition Frec: 24 lnProb: -9.25
Palabra: additional Frec: 40 lnProb: -8.76
Palabra: address Frec: 40 lnProb: -8.76
Palabra: addressed Frec: 4 lnProb: -10.86
Palabra: addresses Frec: 3 lnProb: -11.08
Palabra: addressing Frec: 7 lnProb: -10.39
Palabra: adds Frec: 4 lnProb: -10.86
Palabra: adequate Frec: 21 lnProb: -9.38
Palabra: adequately Frec: 4 lnProb: -10.86
Palabra: adhere Frec: 8 lnProb: -10.27
Palabra: adhered Frec: 3 lnProb: -11.08
Palabra: adhering Frec: 8 lnProb: -10.27
Palabra: adjust Frec: 14 lnProb: -9.76
Palabra: adjusted Frec: 12 lnProb: -9.91
Palabra: adjusting Frec: 19 lnProb: -9.48
Palabra: adjustments Frec: 3 lnProb: -11.08
Palabra: adjusts Frec: 3 lnProb: -11.08
Palabra: admin Frec: 8 lnProb: -10.27
Palabra: administered Frec: 3 lnProb: -11.08
Palabra: administration Frec: 13 lnProb: -9.83
Palabra: admirable Frec: 4 lnProb: -10.86
Palabra: admiration Frec: 4 lnProb: -10.86
Palabra: admire Frec: 3 lnProb: -11.08
Palabra: admit Frec: 9 lnProb: -10.17
Palabra: admitted Frec: 3 lnProb: -11.08
Palabra: adopt Frec: 4 lnProb: -10.86
